user,date,text,favorite_count,hashtags,user_loc
AusBeyondCoal,Wed Apr 22 04:05:00 +0000 2020,"International finance giant #citigroup will stop providing financial services to #coal companies by 2030, including… https://t.co/TtS3jKFQqp",1,"['citigroup', 'coal']",Australia
HottestStockNow,Wed Apr 22 00:46:11 +0000 2020,$C Time to Reward Shareholders        #Citigroup     https://t.co/Q5HQiuwwo4,0,['Citigroup'],"Las Vegas, NV"
Market_Screener,Tue Apr 21 21:18:04 +0000 2020,Citigroup : Remarks by CEO Michael Corbat at Citi's 2020 Annual Meeting #Citigroup #Stock #MarketScreener… https://t.co/iiFLHoh5HW,0,"['Citigroup', 'Stock', 'MarketScreener']",
WRFoxKidsNation,Tue Apr 21 21:10:46 +0000 2020,"RT @amazonwatch: .@moira_kb  Climate and Finance Director @amazonwatch, stated that if #Citigroup truly cares about being a leader on clima…",0,['Citigroup'],"Dayton, OH"
amazonwatch,Tue Apr 21 19:10:25 +0000 2020,".@moira_kb  Climate and Finance Director @amazonwatch, stated that if #Citigroup truly cares about being a leader o… https://t.co/6xFkMg7YAH",11,['Citigroup'],"Oakland, CA"
Danika_Dinsmore,Tue Apr 21 18:46:57 +0000 2020,#Citigroup Latest Major US Bank to Rule Out Funding for #ArcticRefuge Drilling - https://t.co/VuHUj7Wa5i… https://t.co/XehtbdSnne,0,"['Citigroup', 'ArcticRefuge']","Sunshine Coast, BC"
MarcYanofsky,Tue Apr 21 16:31:28 +0000 2020,Is #Citigroup smoking something in their #StayAtHome #WorkFromHome offices? 60% of the US population tested in the… https://t.co/8QWZRof3P3,0,"['Citigroup', 'StayAtHome', 'WorkFromHome']",Japan
InvestingStockz,Tue Apr 21 15:10:01 +0000 2020,"#Citigroup, $C, is down 5.4% - https://t.co/VIrzVqPf0K",0,['Citigroup'],Worldwide
OurFutureBot,Tue Apr 21 13:45:04 +0000 2020,"RT @ImIncorrigible: A good start.

#climateemergency #citigroup https://t.co/KMmjIoK8ls",0,"['climateemergency', 'citigroup']",Italy
ImIncorrigible,Tue Apr 21 13:42:50 +0000 2020,"A good start.

#climateemergency #citigroup https://t.co/KMmjIoK8ls",3,"['climateemergency', 'citigroup']",I'm all over the place
AGlobalVenture,Tue Apr 21 10:43:36 +0000 2020,Citigroup will stop providing financial services to thermal coal-mining companies over the next 10 years to help ac… https://t.co/BHthBewVy5,0,[],Global
IAMONLYCAFFREY,Tue Apr 21 10:05:45 +0000 2020,RT @CAFFREY1_USA: @businessinsider U past/present/wannabee #wework #softbank #lapazbolivia(past #sprint's #ceo now #softbank's #coo)#mufg(#…,0,"['wework', 'softbank', 'lapazbolivia', 'sprint', 'ceo', 'softbank', 'coo', 'mufg']",I HAVE BEEN+AM THE ONLY VICTIM
CAFFREY1_USA,Tue Apr 21 10:05:00 +0000 2020,RT @CAFFREY1_USA: @businessinsider U past/present/wannabee #wework #softbank #lapazbolivia(past #sprint's #ceo now #softbank's #coo)#mufg(#…,0,"['wework', 'softbank', 'lapazbolivia', 'sprint', 'ceo', 'softbank', 'coo', 'mufg']",I'VE BEEN+AM THE ONLY VICTIM
CAFFREY1_USA,Tue Apr 21 10:03:42 +0000 2020,@businessinsider U past/present/wannabee #wework #softbank #lapazbolivia(past #sprint's #ceo now #softbank's #coo)… https://t.co/oZUAwkyHtX,0,"['wework', 'softbank', 'lapazbolivia', 'sprint', 'ceo', 'softbank', 'coo']",I'VE BEEN+AM THE ONLY VICTIM
Tickeron,Tue Apr 21 09:49:41 +0000 2020,$C in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/lOS2fhktbx… https://t.co/JSrocQUR65,0,[],"Sunnyvale, CA"
jojo_demore,Mon Apr 20 17:38:05 +0000 2020,"RT @theRealNotJonas: So about those banks we bailed out 10 years ago. 

Return the favor?

Freeze mortgage, loans, and credit card payments…",0,[],
Tickeron,Mon Apr 20 10:53:29 +0000 2020,$C's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for th… https://t.co/84Hwc2uOXt,0,[],"Sunnyvale, CA"
Tickeron,Sun Apr 19 19:22:40 +0000 2020,$C's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram just turned positive. View odds for this an… https://t.co/MKwnFAOL3V,0,[],"Sunnyvale, CA"
weightman_gary3,Sun Apr 19 00:10:34 +0000 2020,"RT @theRealNotJonas: So about those banks we bailed out 10 years ago. 

Return the favor?

Freeze mortgage, loans, and credit card payments…",0,[],
GeorgeSeah,Sat Apr 18 14:09:08 +0000 2020,"1Q2020 US banks' result highlights (#WellsFargo, #JPMorgan, #BofA, #CitiGroup, #GoldmanSachs), compiled by George S… https://t.co/jkAaODp5zS",0,"['WellsFargo', 'JPMorgan', 'BofA', 'CitiGroup', 'GoldmanSachs']","LimTan #15, INCOME AT RAFFLES"
Tickeron,Sat Apr 18 09:23:13 +0000 2020,$C's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for th… https://t.co/3p2iJASVfm,0,[],"Sunnyvale, CA"
chiri_24,Fri Apr 17 23:00:43 +0000 2020,"RT @EyeCapital: #BankofAmerica, #GoldmanSachs, and #Citigroup posted a sharp drop in profits. #JPMorgan and Bank of America also warned of…",0,"['BankofAmerica', 'GoldmanSachs', 'Citigroup', 'JPMorgan']",Argentina (Entre Rios)
poandpo,Fri Apr 17 21:35:09 +0000 2020,Citigroup Q1 net income $2.5 billion https://t.co/RY0kxHnh7c #Earnings https://t.co/eQQT8822Zi #Citigroup # #net… https://t.co/Vd8E09cgHo,0,"['Earnings', 'Citigroup', 'net']",World
poandpo,Fri Apr 17 21:10:09 +0000 2020,Citigroup Q1 net income $2.5 billion https://t.co/RY0kxHnh7c #Earnings https://t.co/eQQT8822Zi #Citigroup # #net… https://t.co/9JX6iXOaRg,0,"['Earnings', 'Citigroup', 'net']",World
sussenglish,Fri Apr 17 21:02:35 +0000 2020,"RT @EyeCapital: #BankofAmerica, #GoldmanSachs, and #Citigroup posted a sharp drop in profits. #JPMorgan and Bank of America also warned of…",0,"['BankofAmerica', 'GoldmanSachs', 'Citigroup', 'JPMorgan']",Argentina
