user,date,text,favorite_count,hashtags,user_loc
mssmallbusiness,Thu Apr 23 23:11:01 +0000 2020,#ruthschris will be returning the $20million #ppploan it took. #ruthschrissteakhouse… https://t.co/saID3YOXx8,1,"['ruthschris', 'ppploan', 'ruthschrissteakhouse']",
siteIQNicole,Thu Apr 23 22:01:09 +0000 2020,"When we look at banking sites, as a whole, #bankofamerica is the most usable. But BNYMellon, #WellsFargo, #SunTrust… https://t.co/5AxBWbdRYO",0,"['bankofamerica', 'WellsFargo', 'SunTrust']",
festive_cupcake,Thu Apr 23 21:20:52 +0000 2020,"RT @festive_cupcake: Does anyone wanna join the GRUCCI GANG? Dm me (discord server) 
#JaredKushnerForPrison #bankofamerica #FridayFeeling #…",0,"['JaredKushnerForPrison', 'bankofamerica', 'FridayFeeling']",United States
BishopMetals,Thu Apr 23 20:36:49 +0000 2020,"""Gold to Reach $3,000 - 50% Above Its Record. Bank of America Says""

https://t.co/jU06HCeB4t

#gold #silver… https://t.co/SJ1VcTLhVW",0,"['gold', 'silver']",
Treich17,Thu Apr 23 20:36:13 +0000 2020,RT @Wicked_220: Is @BankofAmerica freezing our accounts now? I went to 5 diff #BankofAmerica ATMs in 3 diff cities &amp; none of them allowing…,0,['BankofAmerica'],
WordsDawn,Thu Apr 23 20:19:15 +0000 2020,RT @Wicked_220: Is @BankofAmerica freezing our accounts now? I went to 5 diff #BankofAmerica ATMs in 3 diff cities &amp; none of them allowing…,0,['BankofAmerica'],Central Coast 
ShorealoneFilms,Thu Apr 23 20:17:12 +0000 2020,RT @Wicked_220: Is @BankofAmerica freezing our accounts now? I went to 5 diff #BankofAmerica ATMs in 3 diff cities &amp; none of them allowing…,0,['BankofAmerica'],"Los Angeles, CA / Pasadena, CA"
Wicked_220,Thu Apr 23 20:08:19 +0000 2020,Is @BankofAmerica freezing our accounts now? I went to 5 diff #BankofAmerica ATMs in 3 diff cities &amp; none of them a… https://t.co/nlE84WycvN,1,['BankofAmerica'],"Highland Park, Los Angeles"
lola666babe,Thu Apr 23 19:43:31 +0000 2020,"RT @lola666babe: #bankofamerica sucks &amp; so do I!!! 

https://t.co/29Mv4dj1Jz https://t.co/x6YOeAj2LO",0,['bankofamerica'],
PSTimPride,Thu Apr 23 19:03:06 +0000 2020,"@ewarren It seems #PostOffice #banking was a great idea and may of helped the underdog, #smallbusinesses,get loans… https://t.co/fKxUs68HBR",0,"['PostOffice', 'banking', 'smallbusinesses']","Palm Springs, CA"
