,user,date,text,favorite_count,hashtags,user_loc
24,silberschmelzer,Tue Apr 21 22:38:05 +0000 2020,@Hyper38287949 @SilbergleitJr It was 12 Mar. 2020 and .@SilbergleitJr was sitting next to me in Silber's trading ro… https://t.co/O8XZT5m93T,1,[],
25,muoio_j,Tue Apr 21 18:34:53 +0000 2020,"Twitter, make these companies famous. #CNN #MSNBC #CNBC #jpmorganchase https://t.co/9hGsHYCxbs",0,"['CNN', 'MSNBC', 'CNBC', 'jpmorganchase']",
26,stevemcclure,Tue Apr 21 17:31:09 +0000 2020,It's sad for small business you pick and choose the larger companies to give loan too! Small business are ending be… https://t.co/AzMDlv2I8Z,0,[],atlanta
27,Ricardo90562151,Tue Apr 21 17:30:57 +0000 2020,"RT @DebbieB32113101: Dr Chitwood knew about this first and tweeted on it 7 DAYS ago‼️‼️
Check it out‼️‼️‼️@drmchitwood 
#WellsFargo #jpmorg…",0,['WellsFargo'],
28,DebbieB32113101,Tue Apr 21 17:25:55 +0000 2020,"Dr Chitwood knew about this first and tweeted on it 7 DAYS ago‼️‼️
Check it out‼️‼️‼️@drmchitwood 
#WellsFargo… https://t.co/6DTT62BiUE",6,['WellsFargo'],United States
29,janaejeanmusic,Tue Apr 21 16:28:58 +0000 2020,RT @KarmaCafeBuzz: Any law firms doing class actions regarding the PPP loans please let me know. Cudos to Shake shack for returning their $…,0,[],Earth
30,KarmaCafeBuzz,Tue Apr 21 16:18:36 +0000 2020,Any law firms doing class actions regarding the PPP loans please let me know. Cudos to Shake shack for returning th… https://t.co/KxfCYLPZXb,2,[],"Spring Hill, Florida"
31,financeCO1,Tue Apr 21 14:56:18 +0000 2020,"Since April 17, Banque JP Morgan no longer grants individuals HELOC credit lines based on the value of their real e… https://t.co/R1GVknnctJ",0,[],"Lincoln, England"
32,raviteja22227,Tue Apr 21 10:08:07 +0000 2020,Excited to be starting the JPMorganChase Virtual Experience! Looking forward to trying out what its really like to… https://t.co/o3olkKbRNU,2,[],"Kakinada, India"
33,BT__Financial,Tue Apr 21 08:54:50 +0000 2020,"Marriage is a contract, a business. Wealth decisions #Mets #JPMorgan #JPMorganChase https://t.co/jAlya9RGUG",1,"['Mets', 'JPMorgan', 'JPMorganChase']","Atlanta, GA"
